Ride_ID,Date,Time,City,Pickup_Location,Drop_Location,Vehicle_Type,Driver_Name,Customer_ID,Ride_Distance_KM,Fare_Amount,Payment_Mode,Ride_Status,Driver_Rating,Customer_Rating,Trip_Duration_Min,Surge_Multiplier,Weather,Fuel_Cost,Profit
R00060,2025-11-14,08:43,Mumbai,Bus Stand,Residential Area,Mini,Driver_40,C8222,23.2,410.05,UPI,Completed,4.5,3.2,47,1.5,Cloudy,93.79,316.26
R00061,2025-08-01,05:12,Pune,City Center,Market,Sedan,Driver_33,C8894,5.7,87.75,Cash,Completed,3.7,3.2,19,1.0,Sunny,28.01,59.74
R00062,2025-12-13,23:43,Bangalore,Airport,University,Mini,Driver_34,C9791,29.4,578.38,UPI,Completed,4.3,4.3,84,1.5,Cloudy,129.76,448.62
R00063,2025-07-10,03:43,Pune,Mall,Hospital,Sedan,Driver_83,C2035,8.5,87.13,Card,Completed,4.8,3.6,62,1.0,Sunny,39.55,47.58
R00064,2025-01-24,01:19,Pune,Railway Station,University,Bike,Driver_48,C9850,29.9,333.72,Cash,Completed,4.5,4.8,22,1.5,Cloudy,80.86,252.86
R00065,2025-07-28,08:02,Mumbai,Mall,Residential Area,SUV,Driver_70,C6876,21.3,259.28,UPI,Completed,3.4,3.2,68,1.0,Cloudy,71.02,188.26
R00066,2025-04-19,20:40,Mumbai,Railway Station,Hospital,Sedan,Driver_9,C4394,18.7,190.99,Card,Completed,4.7,3.7,28,2.0,Sunny,81.54,109.45
R00067,2025-05-22,04:08,Delhi,Railway Station,Residential Area,SUV,Driver_31,C6304,17.1,307.55,UPI,Completed,3.1,4.5,77,1.0,Cloudy,39.84,267.71
R00068,2025-02-02,15:28,Pune,Railway Station,Hospital,Mini,Driver_94,C9543,23.8,360.15,Cash,Completed,4.9,3.1,71,1.5,Rainy,55.39,304.76
R00069,2025-12-18,03:31,Bangalore,City Center,Office Hub,Mini,Driver_17,C5505,21.9,316.14,Card,Completed,4.1,3.7,86,2.0,Rainy,102.88,213.26
R00070,2025-08-21,16:38,Chennai,Bus Stand,Hospital,Sedan,Driver_56,C8398,14.0,251.03,UPI,Completed,4.7,3.8,22,1.5,Rainy,32.81,218.22
R00071,2025-06-10,21:16,Delhi,Airport,Residential Area,Mini,Driver_56,C2582,12.5,144.08,Card,Completed,4.6,4.1,85,2.0,Cloudy,59.61,84.47
R00072,2025-06-18,21:07,Hyderabad,Bus Stand,Residential Area,SUV,Driver_77,C6119,13.5,252.94,Cash,Completed,4.0,3.3,71,1.0,Sunny,65.12,187.82
R00073,2025-06-29,17:23,Hyderabad,City Center,Hospital,Mini,Driver_78,C5381,5.2,66.49,UPI,Completed,4.4,3.6,53,1.5,Sunny,13.93,52.56
R00074,2025-04-03,04:36,Delhi,Airport,Airport,Sedan,Driver_49,C7878,20.4,218.2,Cash,Completed,3.7,4.4,82,2.0,Sunny,86.15,132.05
R00075,2025-01-27,04:10,Hyderabad,Bus Stand,University,Bike,Driver_78,C8242,23.1,242.5,Cash,Completed,4.5,3.2,65,1.0,Rainy,51.85,190.65
R00076,2025-12-14,21:37,Hyderabad,City Center,Residential Area,Mini,Driver_27,C5938,15.6,260.07,UPI,Completed,4.5,3.6,25,1.0,Rainy,33.33,226.74
R00077,2025-08-09,05:08,Chennai,Mall,Residential Area,Bike,Driver_95,C1693,12.6,214.66,Cash,Completed,4.8,4.7,83,1.5,Cloudy,44.11,170.55
R00078,2025-07-27,22:40,Bangalore,Railway Station,Hospital,Bike,Driver_89,C6928,13.7,152.78,UPI,Completed,3.2,3.9,61,2.0,Sunny,28.26,124.52
R00079,2025-07-22,09:47,Pune,Bus Stand,Residential Area,Sedan,Driver_100,C6724,11.5,153.3,Cash,Completed,4.6,4.6,40,1.0,Sunny,28.8,124.5
R00080,2025-05-12,06:11,Mumbai,Bus Stand,University,Bike,Driver_97,C8354,18.9,332.68,Card,Cancelled,4.1,4.3,89,1.5,Cloudy,74.97,257.71
R00081,2025-06-11,04:28,Bangalore,City Center,Residential Area,SUV,Driver_65,C2215,3.9,56.25,Cash,Completed,3.1,3.7,46,1.0,Cloudy,11.34,44.91
R00082,2025-02-16,19:38,Chennai,Airport,University,Sedan,Driver_42,C8792,16.2,236.96,Card,Completed,3.1,3.2,53,2.0,Sunny,59.34,177.62
R00083,2025-09-16,20:11,Pune,City Center,Hospital,Sedan,Driver_47,C7108,3.1,52.94,Cash,Completed,4.5,4.4,16,2.0,Cloudy,15.42,37.52
R00084,2025-06-21,02:21,Chennai,Bus Stand,Hospital,Sedan,Driver_43,C2335,4.6,77.21,Card,Completed,4.8,3.6,60,1.0,Cloudy,13.12,64.09
R00085,2025-12-29,02:19,Mumbai,Bus Stand,Airport,Mini,Driver_83,C7937,17.6,289.25,Card,Completed,3.7,3.4,37,1.5,Rainy,52.54,236.71
R00086,2025-04-09,07:08,Pune,City Center,Airport,Mini,Driver_85,C6517,6.3,81.63,Card,Completed,3.8,3.3,89,1.0,Cloudy,27.5,54.13
R00087,2025-08-13,01:26,Pune,Mall,Airport,Bike,Driver_30,C9749,12.2,209.79,UPI,Completed,4.6,3.9,34,1.5,Cloudy,59.89,149.9
R00088,2025-10-20,14:29,Hyderabad,Railway Station,Office Hub,Sedan,Driver_33,C1854,23.5,417.86,Card,Completed,3.7,4.9,76,1.0,Rainy,82.45,335.41
R00089,2025-02-12,05:17,Delhi,Railway Station,University,SUV,Driver_4,C7797,14.6,220.95,UPI,Completed,3.7,3.8,20,1.5,Sunny,65.6,155.35
R00090,2025-01-15,10:59,Mumbai,Railway Station,Residential Area,SUV,Driver_61,C3273,4.8,82.31,Card,Completed,4.2,4.8,12,1.5,Sunny,14.43,67.88
R00091,2025-03-18,17:46,Mumbai,Mall,Residential Area,Mini,Driver_31,C7878,19.0,270.42,Card,Completed,3.9,3.2,73,2.0,Cloudy,82.24,188.18
R00092,2025-01-09,20:32,Delhi,City Center,Market,Sedan,Driver_74,C7825,18.1,311.06,UPI,Completed,3.2,4.9,18,2.0,Cloudy,52.02,259.04
R00093,2025-09-17,16:35,Hyderabad,Mall,Market,Mini,Driver_46,C2106,2.6,48.71,Cash,Completed,4.3,3.2,84,2.0,Rainy,5.54,43.17
R00094,2025-03-10,01:22,Chennai,IT Park,Airport,Bike,Driver_81,C3986,17.3,313.74,UPI,Completed,4.6,3.9,47,1.0,Sunny,43.69,270.05
R00095,2025-04-13,01:20,Pune,IT Park,Market,Mini,Driver_97,C4131,28.1,425.82,Cash,Completed,4.6,4.7,52,1.5,Sunny,139.58,286.24
R00096,2025-07-08,13:56,Bangalore,Railway Station,University,Bike,Driver_48,C9507,13.2,190.05,Cash,Completed,4.5,3.2,87,1.0,Cloudy,64.28,125.77
R00097,2025-05-31,10:06,Pune,Bus Stand,University,Sedan,Driver_89,C8272,4.2,69.76,Cash,Completed,4.5,4.8,88,1.5,Rainy,12.26,57.5
R00098,2025-11-24,01:04,Chennai,Bus Stand,Office Hub,Mini,Driver_19,C8179,20.8,292.49,UPI,Completed,3.5,4.3,56,1.5,Cloudy,73.62,218.87
R00099,2025-01-17,19:09,Delhi,City Center,Office Hub,SUV,Driver_51,C6150,21.0,409.25,Card,Completed,4.9,3.1,33,1.5,Cloudy,65.44,343.81
R00100,2025-07-18,17:07,Pune,Mall,Airport,Bike,Driver_26,C3009,9.3,117.21,UPI,Completed,3.9,4.8,66,1.0,Cloudy,31.05,86.16
R00101,2025-06-13,21:22,Bangalore,Railway Station,Airport,Sedan,Driver_47,C9335,21.9,339.45,UPI,Completed,3.4,3.3,73,1.0,Rainy,62.88,276.57
R00102,2025-10-11,18:23,Delhi,Airport,Market,Bike,Driver_92,C8842,15.1,299.43,Card,Completed,3.8,4.1,26,1.5,Cloudy,36.08,263.35
R00103,2025-02-07,14:29,Pune,Bus Stand,Hospital,Sedan,Driver_99,C3114,21.0,282.35,Cash,Completed,4.7,4.7,76,1.0,Rainy,97.31,185.04
R00104,2025-03-26,05:20,Pune,Mall,Residential Area,SUV,Driver_26,C5496,28.2,345.58,UPI,Completed,4.2,3.2,31,2.0,Cloudy,136.56,209.02
R00105,2025-03-20,05:42,Pune,Airport,Residential Area,Mini,Driver_6,C5336,19.5,370.89,Card,Completed,4.1,4.2,13,1.5,Cloudy,58.75,312.14
R00106,2025-10-07,09:41,Chennai,IT Park,Market,Bike,Driver_10,C1981,28.8,427.09,UPI,Completed,4.0,3.4,87,1.0,Rainy,127.13,299.96
R00107,2025-06-13,23:55,Pune,City Center,Residential Area,SUV,Driver_31,C8642,11.7,163.65,UPI,Completed,3.5,3.2,47,1.5,Cloudy,50.1,113.55
R00108,2025-08-03,07:55,Chennai,Mall,Office Hub,Sedan,Driver_64,C9433,27.3,495.08,Cash,Completed,3.6,3.0,60,2.0,Rainy,131.07,364.01
R00109,2025-05-04,06:37,Chennai,Bus Stand,University,SUV,Driver_69,C1133,11.9,125.01,UPI,Completed,4.8,4.5,61,1.5,Sunny,41.47,83.54
R00110,2025-07-25,01:36,Hyderabad,City Center,University,SUV,Driver_80,C2946,17.7,241.17,UPI,Cancelled,3.8,4.6,53,2.0,Rainy,50.72,190.45
R00111,2025-03-15,06:38,Mumbai,Bus Stand,Market,Bike,Driver_67,C8487,16.3,244.51,UPI,Completed,4.0,3.7,88,1.5,Sunny,34.82,209.69
R00112,2025-07-21,19:47,Pune,City Center,University,SUV,Driver_61,C1272,25.6,407.99,Cash,Completed,3.2,3.8,49,2.0,Cloudy,90.16,317.83
R00113,2025-11-19,00:38,Pune,City Center,Office Hub,Mini,Driver_75,C8871,15.3,300.96,UPI,Completed,4.4,4.5,58,1.0,Cloudy,66.54,234.42
R00114,2025-05-05,01:36,Bangalore,IT Park,Office Hub,Bike,Driver_89,C4340,28.5,316.32,Cash,Completed,4.2,3.9,17,2.0,Sunny,58.62,257.7
R00115,2025-09-23,06:35,Bangalore,Railway Station,University,SUV,Driver_70,C6804,11.1,184.51,Card,Completed,4.4,4.3,43,2.0,Rainy,39.7,144.81
R00116,2025-04-09,07:17,Bangalore,Mall,Airport,Sedan,Driver_89,C9011,17.6,215.58,Cash,Completed,4.1,4.9,45,1.5,Sunny,86.57,129.01
R00117,2025-10-21,21:34,Mumbai,Mall,Residential Area,SUV,Driver_92,C2294,12.6,249.5,Cash,Cancelled,4.3,4.5,37,1.0,Cloudy,56.13,193.37
R00118,2025-05-19,17:44,Mumbai,Railway Station,Residential Area,Sedan,Driver_82,C4814,9.6,106.49,UPI,Completed,3.7,3.9,27,1.0,Cloudy,40.54,65.95
R00119,2025-03-22,13:41,Mumbai,Mall,Market,SUV,Driver_83,C1969,28.2,529.71,UPI,Completed,3.5,4.5,14,1.0,Rainy,96.79,432.92
R00120,2025-04-01,01:53,Bangalore,Airport,Residential Area,SUV,Driver_73,C2758,13.1,195.9,Cash,Completed,5.0,4.1,73,1.0,Cloudy,63.01,132.89
R00121,2025-08-28,08:12,Chennai,Mall,Airport,Sedan,Driver_2,C6523,24.6,327.35,Cash,Completed,4.5,3.4,61,1.5,Cloudy,103.16,224.19
R00122,2025-06-17,02:25,Bangalore,Railway Station,Residential Area,SUV,Driver_50,C4858,20.7,245.25,Cash,Completed,4.9,3.6,83,1.0,Rainy,50.13,195.12
R00123,2025-12-01,11:44,Mumbai,IT Park,Airport,SUV,Driver_89,C2923,8.6,143.43,Card,Cancelled,3.6,4.2,38,1.0,Rainy,29.21,114.22
R00124,2025-03-20,14:47,Hyderabad,City Center,Airport,Sedan,Driver_98,C5054,29.7,407.97,Card,Completed,4.7,3.2,67,2.0,Cloudy,121.94,286.03
R00125,2025-07-05,02:58,Pune,Railway Station,Hospital,Sedan,Driver_22,C6375,17.8,188.99,Card,Completed,4.4,4.4,72,1.0,Cloudy,64.84,124.15
R00126,2025-08-17,01:29,Pune,IT Park,Airport,SUV,Driver_93,C1356,5.7,80.68,Cash,Completed,3.0,3.4,19,1.0,Rainy,21.04,59.64
R00127,2025-06-26,22:04,Hyderabad,Airport,Market,Bike,Driver_24,C3218,17.2,182.36,Card,Cancelled,4.3,3.8,58,1.5,Rainy,80.54,101.82
R00128,2025-07-12,02:43,Bangalore,Airport,Office Hub,Bike,Driver_68,C3086,29.0,543.62,Card,Cancelled,4.7,4.5,48,1.5,Cloudy,69.57,474.05
R00129,2025-10-06,13:34,Mumbai,Mall,Office Hub,Mini,Driver_5,C7868,12.6,154.94,Card,Completed,4.8,3.0,36,1.0,Sunny,42.61,112.33
R00130,2025-11-01,01:28,Chennai,Airport,University,Bike,Driver_30,C9843,18.7,318.51,UPI,Completed,4.6,3.3,47,1.0,Cloudy,40.13,278.38
R00131,2025-10-22,10:36,Bangalore,Railway Station,Airport,Sedan,Driver_53,C5923,18.7,312.76,Cash,Completed,4.9,4.8,32,2.0,Cloudy,55.39,257.37
R00132,2025-08-07,17:31,Hyderabad,City Center,Market,Bike,Driver_53,C3444,3.3,44.37,Cash,Completed,4.5,3.9,38,1.5,Cloudy,12.97,31.4
R00133,2025-03-15,14:58,Pune,Railway Station,University,Sedan,Driver_33,C4331,3.6,50.86,Cash,Completed,4.8,4.7,21,2.0,Cloudy,11.7,39.16
R00134,2025-04-08,01:17,Delhi,Railway Station,Hospital,Sedan,Driver_62,C4422,12.6,202.23,Cash,Completed,4.8,3.4,34,2.0,Sunny,26.69,175.54
R00135,2025-09-03,07:44,Pune,Mall,Market,Bike,Driver_60,C9743,18.9,227.65,Card,Completed,3.5,4.0,73,1.5,Sunny,89.69,137.96
R00136,2025-08-29,10:58,Mumbai,Bus Stand,Office Hub,Mini,Driver_34,C7841,7.7,101.09,Cash,Completed,3.7,3.8,41,1.5,Cloudy,16.46,84.63
R00137,2025-12-02,21:21,Chennai,Bus Stand,University,Bike,Driver_22,C6770,9.2,167.59,UPI,Completed,4.1,3.4,79,2.0,Sunny,45.08,122.51
R00138,2025-09-26,01:53,Delhi,IT Park,Office Hub,Sedan,Driver_9,C3474,25.7,499.91,UPI,Completed,3.9,3.1,88,1.5,Cloudy,102.92,396.99
R00139,2025-09-07,00:00,Chennai,Mall,Hospital,SUV,Driver_3,C9228,16.9,238.52,Card,Completed,4.6,4.8,23,1.0,Cloudy,34.65,203.87
R00140,2025-03-18,07:12,Hyderabad,Airport,Market,Bike,Driver_59,C4984,19.4,242.97,Card,Completed,4.4,4.7,14,1.0,Rainy,59.43,183.54
R00141,2025-07-14,12:35,Delhi,IT Park,University,SUV,Driver_73,C2562,15.3,250.42,Card,Cancelled,3.5,4.8,82,1.5,Rainy,62.86,187.56
R00142,2025-01-24,02:43,Delhi,Railway Station,Market,Mini,Driver_27,C3362,27.9,529.91,Card,Completed,4.9,3.6,82,1.0,Cloudy,102.97,426.94
R00143,2025-07-19,21:57,Chennai,Bus Stand,Residential Area,SUV,Driver_7,C2600,17.1,236.64,Cash,Completed,3.2,4.2,88,2.0,Rainy,72.15,164.49
R00144,2025-06-17,00:40,Bangalore,City Center,University,Bike,Driver_24,C7227,9.7,193.28,UPI,Completed,3.6,3.5,19,1.0,Rainy,33.68,159.6
R00145,2025-03-20,12:45,Bangalore,Airport,Residential Area,Mini,Driver_40,C8286,23.9,275.87,Cash,Completed,3.2,3.2,65,1.5,Cloudy,75.74,200.13
R00146,2025-10-12,16:26,Pune,City Center,Market,Bike,Driver_2,C5781,4.9,53.39,Cash,Completed,3.2,4.8,41,2.0,Cloudy,17.95,35.44
R00147,2025-03-28,21:24,Mumbai,Airport,Office Hub,Bike,Driver_36,C7899,6.7,85.02,Cash,Completed,3.2,3.5,41,2.0,Cloudy,18.79,66.23
R00148,2025-09-11,19:39,Hyderabad,Mall,Hospital,Bike,Driver_43,C8212,7.5,83.02,Cash,Completed,4.6,4.3,86,1.0,Rainy,21.85,61.17
R00149,2025-06-14,19:44,Bangalore,Mall,Airport,Bike,Driver_74,C4971,7.6,99.88,Cash,Completed,4.6,3.8,24,2.0,Sunny,37.19,62.69
R00150,2025-10-31,17:11,Hyderabad,Bus Stand,Office Hub,Bike,Driver_38,C2133,21.1,327.07,Cash,Completed,3.3,3.6,42,2.0,Sunny,102.53,224.54
R00151,2025-08-05,12:04,Pune,City Center,Airport,Bike,Driver_70,C1602,14.6,233.3,Cash,Completed,4.6,4.2,20,1.0,Sunny,54.7,178.6
R00152,2025-12-03,21:22,Chennai,Bus Stand,Airport,Bike,Driver_97,C6432,6.7,108.05,Cash,Completed,3.2,3.4,76,2.0,Cloudy,24.72,83.33
R00153,2025-12-19,18:14,Pune,Bus Stand,Hospital,Sedan,Driver_45,C1402,14.5,201.71,Cash,Completed,3.8,4.9,24,2.0,Sunny,62.6,139.11
R00154,2025-06-28,09:21,Hyderabad,Airport,University,Bike,Driver_41,C2100,14.7,177.41,Cash,Completed,4.4,3.0,53,2.0,Sunny,50.7,126.71
R00155,2025-12-13,05:59,Mumbai,Mall,Hospital,Bike,Driver_60,C4798,29.5,366.95,Cash,Completed,3.4,4.3,60,1.0,Cloudy,74.44,292.51
R00156,2025-11-11,06:28,Mumbai,Mall,Airport,Mini,Driver_74,C2667,18.6,258.32,Card,Completed,3.7,3.9,43,2.0,Rainy,76.52,181.8
R00157,2025-09-28,20:20,Bangalore,Mall,University,Sedan,Driver_87,C5873,18.7,301.31,Card,Completed,4.3,3.6,40,1.5,Sunny,70.33,230.98
